Omniclass,Type Element,Type,Diameter,L1,L2,Steel-Total-Length,Belt-Step
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Main-Steel,16,640,100,,
23-1331211313,C1-400x550,Belt Steel,8,,,1470,200
23-1331211313,C1-400x550,Belt Steel,8,,,1470,200
23-1331211313,C1-400x550,Belt Steel,8,,,1470,200
